PRIMARY_KEY,STATE,Region,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_REVENUE_PS,FEDERAL_REVENUE,FEDERAL_REVENUE_PS,STATE_REVENUE,STATE_REVENUE_PS,LOCAL_REVENUE,LOCAL_REVENUE_PS,TOTAL_EXPENDITURE,TOTAL_EXPENDITURE_PS,INSTRUCTION_EXPENDITURE,INSTRUCTION_EXPENDITURE_PS,SUPPORT_SERVICES_EXPENDITURE,SUPPORT_SERVICES_EXP_PS,OTHER_EXPENDITURE,OTHER_EXPENDITURE_PS,CAPITAL_OUTLAY_EXPENDITURE,CAPITAL_OUTLAY_EXP_PS,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2007_ALASKA,ALASKA,West,2007,132197,1800616,14.83160357,282270,2.325046951,1052357,8.668223452,465989,3.838333169,1938755,15.96944911,927307,7.638191493,645857,5.31989885,60699,0.499975289,257723,2.122854272,1679,9625,9420,9953,10092,77676,42049,121404,237.2738932,282.5571541,214.4769544,266.9176171
2008_ALASKA,ALASKA,West,2008,130624,2188587,18.09976182,303399,2.509130154,1419318,11.73785541,465870,3.852776262,2274819,18.81290627,1113396,9.207859872,740000,6.119849816,65654,0.542963,307512,2.543144941,1905,9744,9756,9673,9787,77614,41399,120918,237.2738932,282.5571541,214.4769544,266.9176171
2009_ALASKA,ALASKA,West,2009,130236,2158970,17.71724234,312667,2.565851777,1357747,11.14213381,488556,4.009256752,2396412,19.66577218,1129756,9.2711621,832783,6.834100626,70835,0.581296109,303165,2.487875132,2475,9804,10046,9626,9779,78545,40837,121857,237.2122843,283.0476628,211.1273683,256.1068616
2010_ALASKA,ALASKA,West,2010,131265,2230338,18.2838569,366970,3.008345357,1356673,11.12172908,506695,4.153782463,2371251,19.43903299,1151630,9.440828305,856333,7.020043612,71634,0.58724095,229874,1.884460257,2990,10120,9917,9622,9643,78880,40114,121984,237.2122843,283.0476628,211.1273683,256.1068616
2011_ALASKA,ALASKA,West,2011,131704,2357828,19.53234919,420152,3.48055735,1416163,11.73155558,521513,4.320236261,2443898,20.24535679,1215062,10.06562619,908567,7.526608347,81031,0.671264311,180137,1.492262704,2755,10453,9667,9527,9918,78849,39110,120714,236.359658,283.2727979,207.9236959,267.5429942
2012_ALASKA,ALASKA,West,2012,130771,2383402,19.71056897,352005,2.911056897,1507913,12.47033576,523484,4.329176315,2483320,20.53688389,1255757,10.38502316,947153,7.832889514,82607,0.683154152,145219,1.200951042,3131,10569,9756,9806,9696,79369,38420,120920,236.359658,283.2727979,207.9236959,267.5429942
2013_ALASKA,ALASKA,West,2013,131091,2545117,21.15430713,320938,2.667547709,1707449,14.19184288,516730,4.29491655,2665933,22.15849624,1324649,11.01011537,982442,8.165785624,87165,0.724491323,248505,2.065504688,3247,10632,9722,9677,9500,78835,38230,120312,236.1220044,281.5595728,209.3472882,268.8033631
2014_ALASKA,ALASKA,West,2014,130539,2663647,22.08351227,309525,2.566180555,1824373,15.12533888,529749,4.391992837,2727056,22.60921761,1346457,11.16307817,982843,8.14846166,86314,0.715603936,269107,2.231086829,3074,10559,9812,9653,9671,79112,38431,120617,236.1220044,281.5595728,209.3472882,268.8033631
2015_ALASKA,ALASKA,West,2015,130755,2920986,23.92917063,344111,2.819010715,2026555,16.60185307,550320,4.508306845,2968341,24.31711014,1484610,12.16215552,1068849,8.756176885,92766,0.759953469,281914,2.309483239,3369,10409,10118,9400,9651,80011,38688,122068,236.328417,280.4934562,212.7926002,258.7537615
1993_ARIZONA,ARIZONA,West,1993,676297,3427976,5.295815381,318465,0.491990564,1415407,2.186635542,1694104,2.617189274,3623946,5.598565732,1578889,2.439195797,1000914,1.546293135,164083,0.253488728,680139,1.050733896,3164,57656,57701,53500,37614,461398,182737,647299,215.253932,265.3662778,206.2127155,262.1698947
1994_ARIZONA,ARIZONA,West,1994,708482,3566586,5.297872435,348847,0.518183749,1478372,2.196000957,1739367,2.583687729,3803379,5.649609112,1652311,2.454373146,1054136,1.565833,183778,0.272987221,696618,1.034769188,3540,59545,60032,55334,40119,475475,194196,673211,215.253932,265.3662778,206.2127155,262.1698947
1995_ARIZONA,ARIZONA,West,1995,735018,3815218,5.628451932,376437,0.555343773,1669173,2.462470034,1769608,2.610638125,4056279,5.984080431,1772388,2.614739358,1131046,1.668590902,226507,0.334157514,710135,1.047636259,4027,61420,60202,56407,39197,479074,194744,677845,215.253932,265.3662778,206.2127155,262.1698947
1996_ARIZONA,ARIZONA,West,1996,764681,4143304,5.701462346,378917,0.521415037,1798363,2.474667301,1966024,2.705380008,4391555,6.043072261,1860007,2.559493552,1193260,1.642005259,220650,0.303629101,877190,1.207071882,4495,64613,62793,60514,42041,511925,210289,726709,217.5759405,267.8748343,206.5297884,263.2836376
1997_ARIZONA,ARIZONA,West,1997,783552,4343262,5.83075845,405291,0.544096562,1907516,2.560809142,2030455,2.725852746,4432360,5.950371062,1977550,2.654828645,1252277,1.681161463,265183,0.356003856,678793,0.91126854,4674,63857,65170,60138,44259,522450,217764,744888,217.5759405,267.8748343,206.5297884,263.2836376
1998_ARIZONA,ARIZONA,West,1998,794331,4675296,6.042417021,470398,0.607948862,2000801,2.585862803,2204097,2.848605356,4726098,6.108074226,2091741,2.703394913,1315931,1.70072737,279785,0.361597992,759108,0.981081647,5209,65312,67764,63943,45813,543670,224867,773746,217.5759405,267.8748343,206.5297884,263.2836376
1999_ARIZONA,ARIZONA,West,1999,814157,5085826,6.501884409,495708,0.633729136,2259753,2.888941305,2330365,2.979213969,5072471,6.484810945,2272859,2.905696439,1426620,1.823837138,264903,0.338660561,871345,1.113955623,1772,67051,70418,65338,47907,551623,228813,782208,217.5759405,267.8748343,206.5297884,263.2836376
2000_ARIZONA,ARIZONA,West,2000,814807,5479168,6.79295211,534619,0.662808891,2481089,3.075999633,2463460,3.054143586,5397194,6.691322546,2488932,3.085723212,1573568,1.950875035,270671,0.335571959,768425,0.952676433,2037,68347,72295,65526,49501,567626,236933,806596,218.7666191,270.7154059,205.3472754,270.519439
2001_ARIZONA,ARIZONA,West,2001,834387,5916342,7.028621325,580043,0.689091773,2729793,3.242997327,2606506,3.096532225,5858385,6.95976834,2538936,3.016258984,1701945,2.021912682,269157,0.319758836,1035457,1.230124146,6624,72119,74270,69643,52162,585206,249920,841750,218.7666191,270.7154059,205.3472754,270.519439
2002_ARIZONA,ARIZONA,West,2002,859588,6192222,7.189106665,619869,0.719661595,2825228,3.280060929,2747125,3.189384141,6018188,6.987054964,2659448,3.087592037,1833852,2.129083491,286945,0.333140222,966925,1.122590075,7533,71357,71139,69841,60820,576817,276984,861334,218.7666191,270.7154059,205.3472754,270.519439
2003_ARIZONA,ARIZONA,West,2003,875111,6529894,7.020711974,740579,0.796244449,2912629,3.131556086,2876686,3.092911439,6210287,6.677081788,2810907,3.022188175,1964229,2.111869819,303924,0.326768377,864642,0.929632616,9376,76365,76207,76376,68815,613442,307272,930090,228.9113961,271.1773505,208.8728014,267.8089667
2004_ARIZONA,ARIZONA,West,2004,895927,7117923,7.430261471,835464,0.872124631,3181009,3.320593467,3101450,3.237543373,6731212,7.026581375,3224647,3.366146327,2115629,2.208463992,332228,0.346806352,829146,0.865529394,9730,80614,77110,78595,71035,627544,320690,957964,228.9113961,271.1773505,208.8728014,267.8089667
2005_ARIZONA,ARIZONA,West,2005,919875,7550109,7.469948978,897553,0.888023619,3320196,3.284945252,3332360,3.296980106,7136794,7.061022171,3423716,3.387366174,2264931,2.240884073,351097,0.347369379,861286,0.852141668,9979,83529,80458,80683,79180,645851,354901,1010731,229.8006731,274.30509,207.1427366,264.9477781
2006_ARIZONA,ARIZONA,West,2006,947266,8084068,8.226819777,963600,0.980615643,3635388,3.699583167,3485080,3.546620967,7934177,8.07428194,3733989,3.799925304,2436340,2.479361887,392902,0.399840024,1143569,1.163762609,14905,85388,81388,80769,71388,659167,308576,982648,229.8006731,274.30509,207.1427366,264.9477781
2007_ARIZONA,ARIZONA,West,2007,969875,8724434,8.719899652,953861,0.95336525,4204089,4.20190401,3566484,3.564630392,8709531,8.705004398,3977800,3.975732619,2656438,2.65505737,403069,0.402859513,1436673,1.435926318,15854,86742,82876,81196,76275,668290,316376,1000520,231.9369335,275.5484264,209.5206243,254.7997475
2008_ARIZONA,ARIZONA,West,2008,987332,9272152,9.269046869,989340,0.989008682,4458836,4.45734279,3823976,3.822695397,9581201,9.577992373,4251747,4.250323142,2878922,2.877957884,443634,0.443485432,1571620,1.571093684,16748,87229,83793,81576,76735,667539,316048,1000335,231.9369335,275.5484264,209.5206243,254.7997475
